bu,old,prophet,kpi,start_train,end_train,diff
CS-Joh,29.14041663846583,24.979869446295424,aht,2019-12-01,2020-12-04,4.160547192170405
BRO_ah,32.18904309125732,27.98901896362,aht,2018-11-01,2020-12-01,4.200024127637317
WISE-C,37.329177915981404,9.156925542354882,aht,2016-11-01,2020-12-04,28.17225237362652
CS-Mar,41.74955538657829,13.410963818230515,aht,2017-11-01,2020-12-04,28.338591568347773
PSG_ah,89.21330924668437,45.92051198232994,aht,2019-11-01,2020-12-04,43.292797264354434
BRO-Co,99.96079165008898,52.77526255068089,aht,2018-10-01,2020-12-04,47.185529099408086
CS-Ala,89.31028352255898,39.68867506675205,aht,2016-01-01,2020-12-04,49.62160845580693
CS-Nat,104.35077771420588,48.76444339049107,aht,2016-11-01,2020-12-01,55.58633432371481
RIS_ah,130.38884694417447,36.43179772214421,aht,2019-11-01,2020-12-01,93.95704922203026
CS-Ala,7169.0,2799.627294379426,handle_time,2016-01-01,2020-12-01,4369.3727056205735
CS-Nat,15103.75,6595.163424724529,handle_time,2016-11-01,2020-12-01,8508.58657527547
BRO-Co,22645.6,12824.051243521968,handle_time,2018-10-01,2020-12-04,9821.54875647803
BRO_ah,35353.4,12555.028775835188,handle_time,2018-11-01,2020-12-04,22798.371224164814
RCS-PH,60709.75,23331.35833916033,handle_time,2018-11-01,2020-12-01,37378.39166083967
WISE-C,475344.2,251570.95928539298,handle_time,2016-11-01,2020-12-04,223773.24071460703
PSG_ah,279187.0,25004.863611435147,handle_time,2019-11-01,2020-12-04,254182.13638856486
RIS_ah,402731.875,55038.59207270556,handle_time,2019-11-01,2020-12-01,347693.28292729444
CS-Ala,7.5,3.296963977567608,volume,2016-01-01,2020-12-01,4.203036022432392
WISE-C,358.2,349.5451441315727,volume,2016-11-01,2020-12-04,8.654855868427262
CS-Nat,23.875,8.819848412295643,volume,2016-11-01,2020-12-01,15.055151587704357
RCS-PH,75.0,52.09651117375616,volume,2018-11-01,2020-12-01,22.903488826243837
RIS_ah,175.0,143.0493911264339,volume,2019-11-01,2020-12-01,31.950608873566097
BRO_ah,66.4,23.369721041941208,volume,2018-11-01,2020-12-04,43.0302789580588
PSG_ah,188.0,96.0605355346164,volume,2019-11-01,2020-12-01,91.9394644653836
